Organization,Name,PrimarySite,Start,End
http://org.csiro.au/A000697,CSIRO Division of Applied Mineralogy,http://org.csiro.au/FloreatPark,1962-01-01,1970-12-31
http://org.csiro.au/A000698,CSIRO Division of Mineral Products,http://org.csiro.au/PortMelbourne,1988-01-01,1995-12-31
http://org.csiro.au/A000699,CSIRO Division of Process Technology,http://org.csiro.au/Australia,1975-10-14,1980-12-31
http://org.csiro.au/A000700,CSIRO Mineragraphic Investigations,http://org.csiro.au/Australia,1927-01-01,1966-12-31
http://org.csiro.au/A000701,CSIRO Ore Dressing Investigations,http://org.csiro.au/Australia,1934-01-01,1970-02-28
http://org.csiro.au/A000702,CSIRO Coal Research Section,http://org.csiro.au/Australia,1948-01-01,1960-12-31
http://org.csiro.au/A000703,CSIRO Minerals Utilization Section,http://org.csiro.au/Australia,1958-10-09,1959-05-31
http://org.csiro.au/A000704,CSIRO Division of Coal Research,http://org.csiro.au/Australia,1959-05-01,1967-12-31
http://org.csiro.au/A000705,CSIRO Cement and Ceramic Section,http://org.csiro.au/Australia,1958-01-01,1960-12-31
http://org.csiro.au/A000706,CSIRO Cement and Refractories Section,http://org.csiro.au/Australia,1960-01-01,1962-12-31
http://org.csiro.au/A000707,CSIRO Mineral Physics Section,http://org.csiro.au/NorthRyde,1971-07-01,1972-10-12
http://org.csiro.au/A000708,CSIRO Fuel Geoscience Unit,http://org.csiro.au/Australia,1977-01-01,1980-12-31
http://org.csiro.au/A000709,CSIRO Division of Food Science and Technology,http://org.csiro.au/NorthRyde,1992-12-31,1997-12-31
http://org.csiro.au/A000727,CSIRO Division of Animal Production,http://org.csiro.au/Blacktown,1975-11-10,2000-07-01
http://org.csiro.au/A000728,CSIRO Division of Human Nutrition,http://org.csiro.au/Adelaide,1975-01-01,1996-12-31
http://org.csiro.au/A000729,CSIRO Division of Animal Physiology,http://org.csiro.au/Blacktown,1959-01-01,1975-12-31
http://org.csiro.au/A000730,CSIRO Sheep Biology Laboratory,http://org.csiro.au/Prospect,1953-01-01,1959-12-31
http://org.csiro.au/A000731,CSIRO Division of Animal Genetics,http://org.csiro.au/NorthRyde,1959-11-23,1975-11-09
http://org.csiro.au/A000732,CSIRO Animal Genetics Section,http://org.csiro.au/NorthRyde,1951-01-01,1959-12-31
http://org.csiro.au/A000733,CSIRO Division of Animal Health and Production,http://org.csiro.au/Victoria,1944-08-18,1959-11-22
